time (s)	energy (uJ)	charge (mC)	voltage (mV)	crossing#mod 255
6276.953977	3.849491	3.286279	1.171383	170
6276.953977	3.849491	3.286279	1.171383	171
6277.956167	4.194336	3.356366	1.249666	172
6279.017907	3.927155	3.340848	1.175496	173
6280.025627	4.126491	3.347922	1.232553	174
6281.086165	3.897958	3.346115	1.164921	175
6282.093023	4.176156	3.352165	1.245809	176
6283.152992	3.857104	3.319954	1.161795	177
6284.161214	4.063133	3.348436	1.213442	178
6285.219037	3.985001	3.336755	1.194275	179
6286.230172	4.104099	3.359432	1.221665	180
6287.285371	3.957278	3.300717	1.198915	181
6288.296687	4.077849	3.352149	1.216488	182
6289.352396	3.961933	3.346203	1.184009	183
6290.364234	4.063365	3.355443	1.210978	184
6291.419374	3.967387	3.338279	1.188453	185
6292.431751	4.031196	3.353496	1.202088	186
6293.484156	4.044970	3.352696	1.206483	187
6294.498914	4.039062	3.343015	1.208209	188
6295.550002	4.117864	3.348372	1.229811	189
6296.567159	4.015565	3.351691	1.198071	190
6297.616958	4.122313	3.353038	1.229426	191
6298.633803	4.140048	3.351619	1.235238	192
6299.683502	4.056780	3.352688	1.210008	193
6300.701933	3.983779	3.304576	1.205534	194
6301.750478	4.007850	3.319530	1.207355	195
6302.769489	4.045115	3.349141	1.207807	196
6303.815812	4.092344	3.354042	1.220123	197
6304.836952	3.996042	3.333249	1.198843	198
6305.884354	4.128268	3.354988	1.230487	199
6306.904496	4.031387	3.339035	1.207351	200
6307.951475	4.024186	3.304924	1.217634	201
6308.971314	4.008749	3.344270	1.198692	202
6310.018532	4.069432	3.351696	1.214141	203
6311.038587	3.966693	3.357931	1.181291	204
6312.087537	3.984894	3.332501	1.195767	205
6313.105633	4.017008	3.359833	1.195598	206
6314.163936	4.184391	3.372661	1.240679	207
6315.170857	4.063979	3.359341	1.209755	208
6316.223823	3.942639	3.332637	1.183039	209
6317.237497	4.036677	3.347791	1.205773	210
6318.290703	4.007681	3.353746	1.194987	211
6319.304670	4.019619	3.349991	1.199890	212
6320.359581	3.979035	3.332107	1.194150	213
6321.371730	4.012547	3.358298	1.194816	214
6322.427647	4.042263	3.358880	1.203456	215
6323.436417	4.091795	3.350316	1.221316	216
6324.495555	4.022111	3.313897	1.213710	217
6325.502418	4.080637	3.291580	1.239720	218
6326.563402	4.005361	3.358594	1.192571	219
6327.570392	4.174860	3.358816	1.242956	220
6328.631907	3.893050	3.304805	1.177997	221
6329.637418	4.121280	3.345213	1.231993	222
6330.699589	3.950091	3.340015	1.182657	223
6331.702236	4.143953	3.356343	1.234663	224
6332.767064	4.014519	3.357463	1.195700	225
6333.770348	4.191324	3.354144	1.249596	226
6334.834132	3.970578	3.314424	1.197969	227
6335.837089	4.176275	3.351394	1.246131	228
6336.902816	3.944284	3.349927	1.177424	229
6337.904255	4.101024	3.305838	1.240540	230
6338.969978	3.980600	3.339792	1.191871	231
6339.972091	4.152742	3.367166	1.233305	232
6341.037157	3.926333	3.296892	1.190920	233
6342.039430	4.129344	3.339717	1.236435	234
6343.103884	3.962047	3.304716	1.198907	235
6344.113875	4.255352	3.354340	1.268611	236
6345.169869	3.932859	3.309058	1.188513	237
6346.173549	4.159367	3.350578	1.241388	238
6347.238780	3.941197	3.350369	1.176347	239
6348.241303	4.144978	3.357417	1.234573	240
6349.304282	4.017467	3.355219	1.197378	241
6350.308665	4.169263	3.355339	1.242576	242
6351.370658	4.015965	3.346729	1.199967	243
6352.376527	4.078932	3.290560	1.239586	244
6353.436417	3.991965	3.358669	1.188556	245
6354.447903	4.352568	3.353851	1.297782	246
6355.497977	4.014765	3.352011	1.197718	247
6356.515732	4.138643	3.340317	1.238997	248
6357.567709	3.968614	3.350556	1.184464	249
6358.581477	4.115439	3.299160	1.247420	250
6359.631883	3.945987	3.310255	1.192049	251
6360.650954	4.103789	3.340856	1.228365	252
6361.699408	4.068645	3.362736	1.209921	253
6362.718670	4.169369	3.359013	1.241248	254
6363.764335	3.979274	3.360522	1.184124	255
6364.786059	4.232577	3.354803	1.261647	0
6365.834045	4.003894	3.341297	1.198306	1
6366.854386	4.114719	3.342457	1.231046	2
6367.899128	4.061959	3.353807	1.211149	3
6368.921302	4.111092	3.315786	1.239854	4
6369.967326	4.046887	3.327264	1.216281	5
6370.987921	4.076347	3.308399	1.232121	6
6372.032944	4.142745	3.370577	1.229091	7
6373.064405	4.145387	3.339585	1.241288	8
6374.108355	4.126884	3.356107	1.229664	9
6375.123909	4.139313	3.350512	1.235427	10
6376.168760	4.118652	3.370500	1.221971	11
6377.189283	4.151417	3.335543	1.244600	12
6378.235667	4.073419	3.342802	1.218564	13
6379.257134	4.117735	3.340233	1.232769	14
6380.303343	3.993382	3.303121	1.208973	15
6381.323172	4.146047	3.361052	1.233557	16
6382.371658	4.080639	3.351343	1.217613	17
6383.390580	4.114223	3.343213	1.230620	18
6384.438890	4.104652	3.352400	1.224392	19
6385.456694	4.115097	3.342659	1.231085	20
6386.507315	4.032064	3.354241	1.202079	21
6387.524640	4.114737	3.342146	1.231166	22
6388.576254	4.042542	3.287043	1.229842	23
6389.589673	4.114827	3.334810	1.233902	24
6390.642889	4.099943	3.343739	1.226155	25
6391.656160	4.080720	3.354759	1.216398	26
6392.711487	4.107025	3.353904	1.224551	27
6393.722313	4.135691	3.345383	1.236238	28
6394.777976	3.992943	3.291872	1.212970	29
6395.789685	4.175801	3.358553	1.243333	30
6396.846805	4.079557	3.355018	1.215957	31
6397.855722	4.168599	3.368569	1.237498	32
6398.913244	4.111107	3.359551	1.223707	33
6399.924302	4.171041	3.349140	1.245407	34
6400.981514	3.994038	3.342222	1.195025	35
6401.989984	4.153212	3.345908	1.241281	36
6403.050427	4.061632	3.317251	1.224397	37
6404.057176	4.143068	3.360458	1.232888	38
6405.118154	4.101450	3.353373	1.223082	39
6406.121772	4.228366	3.359243	1.258726	40
6407.184221	3.998111	3.290784	1.214942	41
6408.190049	4.122230	3.299387	1.249392	42
6409.261273	4.138707	3.363889	1.230334	43
6410.257992	4.145996	3.349444	1.237816	44
6411.318915	4.016269	3.351330	1.198411	45
6412.326090	4.149286	3.365133	1.233023	46
6413.390280	3.871173	3.339647	1.159156	47
6414.391508	4.218445	3.333760	1.265371	48
6415.452777	4.030355	3.318981	1.214335	49
6416.460266	4.049877	3.303588	1.225903	50
6417.520095	4.048224	3.341492	1.211502	51
6418.528288	4.192913	3.359041	1.248247	52
6419.585279	4.002599	3.324431	1.203995	53
6420.594999	4.160673	3.354744	1.240236	54
6421.653669	4.008461	3.339560	1.200296	55
6422.663996	4.147171	3.353547	1.236652	56
6423.718748	4.005173	3.295851	1.215217	57
6424.731599	4.218259	3.373263	1.250498	58
6425.784766	4.022778	3.324763	1.209944	59
6426.799715	4.184552	3.327505	1.257565	60
6427.852648	4.061652	3.354930	1.210652	61
6428.866093	4.194134	3.354162	1.250427	62
6429.918772	4.003582	3.297187	1.214242	63
6430.935697	4.144531	3.339765	1.240965	64
6431.985474	4.104217	3.356342	1.222824	65
6433.003533	4.190472	3.348535	1.251435	66
6434.051174	4.003576	3.305337	1.211246	67
6435.071323	4.142088	3.288664	1.259505	68
6436.118054	4.096847	3.349797	1.223014	69
6437.137710	4.105806	3.294837	1.246133	70
6438.184756	4.111944	3.349938	1.227469	71
6439.205042	4.193343	3.356926	1.249162	72
6440.251574	4.127856	3.358525	1.229068	73
6441.273748	4.106298	3.286680	1.249376	74
6442.318533	4.179881	3.347413	1.248690	75
6443.341476	4.158907	3.299098	1.260620	76
6444.385867	4.134542	3.356774	1.231701	77
6445.407736	4.126993	3.331212	1.238887	78
